,ticker,company
832,6191.TW,精成科
833,6192.TW,巨路
834,6196.TW,帆宣
835,6197.TW,佳必琪
836,6201.TW,亞弘電
837,6202.TW,盛群
838,6205.TW,詮欣
839,6206.TW,飛捷
840,6209.TW,今國光
841,6213.TW,聯茂
842,6214.TW,精誠
843,6215.TW,和椿
844,6216.TW,居易
845,6224.TW,聚鼎
846,6225.TW,天瀚
847,6226.TW,光鼎
848,6230.TW,超眾
849,6235.TW,華孚
850,6239.TW,力成
851,6243.TW,迅杰
852,6251.TW,定穎
853,6257.TW,矽格
854,6269.TW,台郡
855,6271.TW,同欣電
856,6277.TW,宏正
857,6278.TW,台表科
858,6281.TW,全國電
859,6282.TW,康舒
860,6283.TW,淳安
861,6285.TW,啟碁
862,6288.TW,聯嘉
863,6289.TW,華上
864,6405.TW,悅城
865,6409.TW,旭隼
866,6412.TW,群電
867,6414.TW,樺漢
868,6415.TW,矽力-KY
869,6416.TW,瑞祺電通
870,6431.TW,光麗-KY
871,6442.TW,光聖
872,6443.TW,元晶
873,6449.TW,鈺邦
874,6451.TW,訊芯-KY
875,6456.TW,GIS-KY
876,6464.TW,台數科
877,6477.TW,安集
878,6491.TW,晶碩
879,6504.TW,南六
880,6505.TW,台塑化
881,6525.TW,捷敏-KY
882,6531.TW,愛普
883,6533.TW,晶心科
884,6541.TW,泰福-KY
885,6552.TW,易華電
886,6558.TW,興能高
887,6573.TW,虹揚-KY
888,6579.TW,研揚
889,6581.TW,鋼聯
890,6582.TW,申豐
891,6591.TW,動力-KY
892,6592.TW,和潤企業
893,6598.TW,ABC-KY
894,6605.TW,帝寶
895,6625.TW,必應
896,6641.TW,基士德-KY
897,6655.TW,科定
898,6666.TW,羅麗芬-KY
899,6668.TW,中揚光
900,6669.TW,緯穎
901,6670.TW,復盛應用
902,6671.TW,三能-KY
903,6672.TW,騰輝電子-KY
904,6674.TW,鋐寶科技
905,6698.TW,旭暉應材
906,6706.TW,惠特
907,6715.TW,嘉基
908,6754.TW,匯僑設計
909,8011.TW,台通
910,8016.TW,矽創
911,8021.TW,尖點
912,8028.TW,昇陽半導體
913,8033.TW,雷虎
914,8039.TW,台虹
915,8046.TW,南電
916,8070.TW,長華*
917,8072.TW,陞泰
918,8081.TW,致新
919,8101.TW,華冠
920,8103.TW,瀚荃
921,8104.TW,錸寶
922,8105.TW,凌巨
923,8110.TW,華東
924,8112.TW,至上
925,8114.TW,振樺電
926,8131.TW,福懋科
927,8150.TW,南茂
928,8163.TW,達方
929,8201.TW,無敵
930,8210.TW,勤誠
931,8213.TW,志超
932,8215.TW,明基材
933,8222.TW,寶一
934,8249.TW,菱光
935,8261.TW,富鼎
936,8271.TW,宇瞻
937,8341.TW,日友
938,8367.TW,建新國際
939,8374.TW,羅昇
940,8404.TW,百和興業-KY
941,8411.TW,福貞-KY
942,8422.TW,可寧衛
943,8427.TW,基勝-KY
944,8429.TW,金麗-KY
945,8442.TW,威宏-KY
946,8443.TW,阿瘦
947,8454.TW,富邦媒
948,8462.TW,柏文
949,8463.TW,潤泰材
950,8464.TW,億豐
951,8466.TW,美吉吉-KY
952,8467.TW,波力-KY
953,8473.TW,山林水
954,8478.TW,東哥遊艇
955,8480.TW,泰昇-KY
956,8481.TW,政伸
957,8482.TW,商億-KY
958,8488.TW,吉源-KY
959,8499.TW,鼎炫-KY
960,8926.TW,台汽電
961,8940.TW,新天地
962,8996.TW,高力
963,9103.TW,美德醫療-DR
964,910322.TW,康師傅-DR
965,9105.TW,泰金寶-DR
966,910861.TW,神州-DR
967,9110.TW,越南控-DR
968,911608.TW,明輝-DR
969,911616.TW,杜康-DR
970,911622.TW,泰聚亨-DR
971,911868.TW,同方友友-DR
972,912000.TW,晨訊科-DR
973,912398.TW,友佳-DR
974,9136.TW,巨騰-DR
975,9188.TW,精熙-DR
976,9802.TW,鈺齊-KY
977,9902.TW,台火
978,9904.TW,寶成
979,9905.TW,大華
980,9906.TW,欣巴巴
981,9907.TW,統一實
982,9908.TW,大台北
983,9910.TW,豐泰
984,9911.TW,櫻花
985,9912.TW,偉聯
986,9914.TW,美利達
987,9917.TW,中保科
988,9918.TW,欣天然
989,9919.TW,康那香
990,9921.TW,巨大
991,9924.TW,福興
992,9925.TW,新保
993,9926.TW,新海
994,9927.TW,泰銘
995,9928.TW,中視
996,9929.TW,秋雨
997,9930.TW,中聯資源
998,9931.TW,欣高
999,9933.TW,中鼎
1000,9934.TW,成霖
1001,9935.TW,慶豐富
1002,9937.TW,全國
1003,9938.TW,百和
1004,9939.TW,宏全
1005,9940.TW,信義
1006,9941.TW,裕融
1007,9942.TW,茂順
1008,9943.TW,好樂迪
1009,9944.TW,新麗
1010,9945.TW,潤泰新
1011,9946.TW,三發地產
1012,9955.TW,佳龍
1013,9958.TW,世紀鋼
